               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,           0.0040034,           0.0023563,          0.00015829,              0.9883,             0.98714,             0.99388,             0.76585,           0.0027629,           0.0012515,           1.526e-05,           0.0008173,           0.0008173,           0.0008173
                  91,           0.0039888,           0.0023342,          0.00017574,             0.98832,              0.9871,             0.99388,              0.7762,           0.0026755,           0.0012414,          1.4775e-05,          0.00078896,          0.00078896,          0.00078896
                  92,           0.0039991,           0.0021887,          0.00016233,             0.98829,              0.9872,             0.99388,              0.7852,           0.0025753,           0.0012317,           1.492e-05,          0.00076061,          0.00076061,          0.00076061
                  93,           0.0039455,           0.0022612,           0.0001433,             0.98804,             0.98916,             0.99398,             0.77396,           0.0027053,           0.0012428,          1.5085e-05,          0.00073227,          0.00073227,          0.00073227
                  94,           0.0039142,           0.0023258,          0.00012685,             0.98711,             0.98851,             0.99399,             0.77458,           0.0026904,           0.0012377,          1.5002e-05,          0.00070392,          0.00070392,          0.00070392
                  95,           0.0039614,           0.0023141,          0.00015091,             0.98833,              0.9886,             0.99397,             0.77067,           0.0027314,           0.0012447,          1.5085e-05,          0.00067558,          0.00067558,          0.00067558
                  96,           0.0040903,           0.0022772,          0.00016874,             0.98837,             0.98855,             0.99397,              0.7806,           0.0026246,           0.0012335,          1.5147e-05,          0.00064723,          0.00064723,          0.00064723
                  97,           0.0039405,           0.0022401,          0.00016134,             0.98833,             0.98713,             0.99385,             0.78562,           0.0025635,           0.0012243,          1.5105e-05,          0.00061889,          0.00061889,          0.00061889
                  98,           0.0038095,           0.0021678,           0.0001309,             0.98838,             0.98694,             0.99385,              0.7834,           0.0025825,           0.0012244,          1.4992e-05,          0.00059054,          0.00059054,          0.00059054
                  99,           0.0039481,           0.0022144,          0.00014674,             0.98844,             0.98641,             0.99388,             0.77275,           0.0027072,           0.0012392,          1.4497e-05,           0.0005622,           0.0005622,           0.0005622
