               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.033801,            0.017466,           0.0016357,             0.99061,             0.96285,             0.98838,             0.73282,            0.017036,            0.012497,           0.0006855,            0.008878,            0.008878,            0.008878
                  70,            0.035423,            0.017861,           0.0020802,             0.98594,             0.96753,             0.98917,             0.71534,            0.018462,            0.012713,          0.00075035,           0.0088615,           0.0088615,           0.0088615
                  71,            0.033588,            0.018735,           0.0026041,             0.98701,             0.97328,             0.98979,             0.69882,            0.020414,            0.013096,          0.00056057,            0.008845,            0.008845,            0.008845
                  72,            0.035013,            0.017664,            0.002321,             0.98689,             0.96305,             0.98877,             0.69817,            0.020092,            0.013194,          0.00069561,           0.0088285,           0.0088285,           0.0088285
                  73,             0.03681,            0.018111,           0.0022002,              0.9897,             0.96237,             0.98848,             0.73959,            0.016957,            0.012432,          0.00084496,            0.008812,            0.008812,            0.008812
                  74,            0.036601,            0.016472,           0.0017414,             0.98074,             0.96647,             0.98844,             0.74383,            0.017604,            0.012512,          0.00071697,           0.0087955,           0.0087955,           0.0087955
                  75,            0.034995,            0.018554,           0.0018121,              0.9873,             0.96966,             0.99046,             0.71579,            0.018939,            0.012789,           0.0005785,            0.008779,            0.008779,            0.008779
                  76,             0.03458,            0.016751,           0.0018908,              0.9787,             0.97642,             0.98935,             0.74602,            0.016979,            0.012302,           0.0005167,           0.0087625,           0.0087625,           0.0087625
                  77,            0.036386,            0.018005,           0.0019207,             0.98209,             0.97212,             0.98981,             0.74224,            0.017526,            0.012762,          0.00056381,            0.008746,            0.008746,            0.008746
                  78,            0.034821,            0.017101,           0.0021407,             0.97671,             0.96751,             0.99139,             0.72877,            0.018023,            0.012798,          0.00072689,           0.0087295,           0.0087295,           0.0087295
                  79,            0.034017,            0.018095,           0.0018045,             0.97758,              0.9705,             0.98894,             0.72006,            0.018051,            0.012718,          0.00076027,            0.008713,            0.008713,            0.008713
                  80,            0.034601,            0.017131,            0.001957,             0.98764,             0.97087,             0.98815,             0.74552,            0.016798,             0.01214,          0.00045319,           0.0086965,           0.0086965,           0.0086965
